debu total,tanggal,hari angka,hari,pukul
454.2,2013-03-06 16:00:00,2,Rabu,16
446.70000000000005,2013-03-06 17:00:00,2,Rabu,17
449.79999999999995,2013-03-06 18:00:00,2,Rabu,18
466.7,2013-03-06 19:00:00,2,Rabu,19
492.0,2013-03-06 20:00:00,2,Rabu,20
507.09999999999997,2013-03-06 21:00:00,2,Rabu,21
516.3,2013-03-06 22:00:00,2,Rabu,22
501.2,2013-03-06 23:00:00,2,Rabu,23
500.20000000000005,2013-03-07 00:00:00,3,Kamis,0
488.1,2013-03-07 01:00:00,3,Kamis,1
469.8,2013-03-07 02:00:00,3,Kamis,2
444.3,2013-03-07 03:00:00,3,Kamis,3
411.4,2013-03-07 04:00:00,3,Kamis,4
405.29999999999995,2013-03-07 05:00:00,3,Kamis,5
400.5,2013-03-07 06:00:00,3,Kamis,6
401.7,2013-03-07 07:00:00,3,Kamis,7
409.7,2013-03-07 08:00:00,3,Kamis,8
443.6,2013-03-07 09:00:00,3,Kamis,9
470.5,2013-03-07 10:00:00,3,Kamis,10
519.9,2013-03-07 11:00:00,3,Kamis,11
557.6,2013-03-07 12:00:00,3,Kamis,12
521.5,2013-03-07 13:00:00,3,Kamis,13
445.4,2013-03-07 14:00:00,3,Kamis,14
465.4,2013-03-07 15:00:00,3,Kamis,15
413.3,2013-03-07 16:00:00,3,Kamis,16
403.0,2013-03-07 17:00:00,3,Kamis,17
466.5,2013-03-07 18:00:00,3,Kamis,18
485.5,2013-03-07 19:00:00,3,Kamis,19
513.7,2013-03-07 20:00:00,3,Kamis,20
563.8,2013-03-07 21:00:00,3,Kamis,21
644.2,2013-03-07 22:00:00,3,Kamis,22
685.4,2013-03-07 23:00:00,3,Kamis,23
640.6,2013-03-08 00:00:00,4,Jumat,0
629.5,2013-03-08 01:00:00,4,Jumat,1
607.7,2013-03-08 02:00:00,4,Jumat,2
562.2,2013-03-08 03:00:00,4,Jumat,3
518.9,2013-03-08 04:00:00,4,Jumat,4
487.1,2013-03-08 05:00:00,4,Jumat,5
445.9,2013-03-08 06:00:00,4,Jumat,6
396.4,2013-03-08 07:00:00,4,Jumat,7
402.5,2013-03-08 08:00:00,4,Jumat,8
424.1,2013-03-08 09:00:00,4,Jumat,9
514.5,2013-03-08 10:00:00,4,Jumat,10
421.4,2013-03-08 11:00:00,4,Jumat,11
335.1,2013-03-08 12:00:00,4,Jumat,12
375.7,2013-03-08 13:00:00,4,Jumat,13
580.5,2013-03-08 14:00:00,4,Jumat,14
724.3,2013-03-08 15:00:00,4,Jumat,15
492.5,2013-03-08 16:00:00,4,Jumat,16
301.5,2013-03-08 17:00:00,4,Jumat,17
219.60000000000002,2013-03-08 18:00:00,4,Jumat,18
190.10000000000002,2013-03-08 19:00:00,4,Jumat,19
184.0,2013-03-08 20:00:00,4,Jumat,20
167.0,2013-03-08 21:00:00,4,Jumat,21
159.8,2013-03-08 22:00:00,4,Jumat,22
159.60000000000002,2013-03-08 23:00:00,4,Jumat,23
139.0,2013-03-09 00:00:00,5,Sabtu,0
151.4,2013-03-09 01:00:00,5,Sabtu,1
161.6,2013-03-09 02:00:00,5,Sabtu,2
184.0,2013-03-09 03:00:00,5,Sabtu,3
177.3,2013-03-09 04:00:00,5,Sabtu,4
179.7,2013-03-09 05:00:00,5,Sabtu,5
197.3,2013-03-09 06:00:00,5,Sabtu,6
215.7,2013-03-09 07:00:00,5,Sabtu,7
237.5,2013-03-09 08:00:00,5,Sabtu,8
314.6,2013-03-09 09:00:00,5,Sabtu,9
467.5,2013-03-09 10:00:00,5,Sabtu,10
605.0999999999999,2013-03-09 11:00:00,5,Sabtu,11
708.4,2013-03-09 12:00:00,5,Sabtu,12
676.5,2013-03-09 13:00:00,5,Sabtu,13
644.7,2013-03-09 14:00:00,5,Sabtu,14
457.09999999999997,2013-03-09 15:00:00,5,Sabtu,15
259.0,2013-03-09 16:00:00,5,Sabtu,16
203.1,2013-03-09 17:00:00,5,Sabtu,17
159.79999999999998,2013-03-09 18:00:00,5,Sabtu,18
132.3,2013-03-09 19:00:00,5,Sabtu,19
125.9,2013-03-09 20:00:00,5,Sabtu,20
100.5,2013-03-09 21:00:00,5,Sabtu,21
78.6,2013-03-09 22:00:00,5,Sabtu,22
58.099999999999994,2013-03-09 23:00:00,5,Sabtu,23
57.8,2013-03-10 00:00:00,6,Minggu,0
51.5,2013-03-10 01:00:00,6,Minggu,1
53.900000000000006,2013-03-10 02:00:00,6,Minggu,2
52.3,2013-03-10 03:00:00,6,Minggu,3
55.0,2013-03-10 04:00:00,6,Minggu,4
58.2,2013-03-10 05:00:00,6,Minggu,5
60.7,2013-03-10 06:00:00,6,Minggu,6
63.8,2013-03-10 07:00:00,6,Minggu,7
68.6,2013-03-10 08:00:00,6,Minggu,8
69.4,2013-03-10 09:00:00,6,Minggu,9
76.9,2013-03-10 10:00:00,6,Minggu,10
81.30000000000001,2013-03-10 11:00:00,6,Minggu,11
75.7,2013-03-10 12:00:00,6,Minggu,12
67.5,2013-03-10 13:00:00,6,Minggu,13
65.3,2013-03-10 14:00:00,6,Minggu,14
82.6,2013-03-10 15:00:00,6,Minggu,15
94.69999999999999,2013-03-10 16:00:00,6,Minggu,16
111.1,2013-03-10 17:00:00,6,Minggu,17
127.30000000000001,2013-03-10 18:00:00,6,Minggu,18
145.9,2013-03-10 19:00:00,6,Minggu,19
172.89999999999998,2013-03-10 20:00:00,6,Minggu,20
180.4,2013-03-10 21:00:00,6,Minggu,21
196.3,2013-03-10 22:00:00,6,Minggu,22
201.5,2013-03-10 23:00:00,6,Minggu,23
204.2,2013-03-11 00:00:00,0,Senin,0
209.10000000000002,2013-03-11 01:00:00,0,Senin,1
210.4,2013-03-11 02:00:00,0,Senin,2
207.9,2013-03-11 03:00:00,0,Senin,3
202.39999999999998,2013-03-11 04:00:00,0,Senin,4
212.6,2013-03-11 05:00:00,0,Senin,5
204.39999999999998,2013-03-11 06:00:00,0,Senin,6
198.3,2013-03-11 07:00:00,0,Senin,7
219.9,2013-03-11 08:00:00,0,Senin,8
240.6,2013-03-11 09:00:00,0,Senin,9
255.3,2013-03-11 10:00:00,0,Senin,10
260.0,2013-03-11 11:00:00,0,Senin,11
256.1,2013-03-11 12:00:00,0,Senin,12
266.7,2013-03-11 13:00:00,0,Senin,13
254.6,2013-03-11 14:00:00,0,Senin,14
240.0,2013-03-11 15:00:00,0,Senin,15
263.8,2013-03-11 16:00:00,0,Senin,16
302.4,2013-03-11 17:00:00,0,Senin,17
336.79999999999995,2013-03-11 18:00:00,0,Senin,18
342.5,2013-03-11 19:00:00,0,Senin,19
367.6,2013-03-11 20:00:00,0,Senin,20
381.5,2013-03-11 21:00:00,0,Senin,21
343.0,2013-03-11 22:00:00,0,Senin,22
288.6,2013-03-11 23:00:00,0,Senin,23
254.89999999999998,2013-03-12 00:00:00,1,Selasa,0
261.79999999999995,2013-03-12 01:00:00,1,Selasa,1
261.4,2013-03-12 02:00:00,1,Selasa,2
243.0,2013-03-12 03:00:00,1,Selasa,3
254.9,2013-03-12 04:00:00,1,Selasa,4
299.8,2013-03-12 05:00:00,1,Selasa,5
262.0,2013-03-12 06:00:00,1,Selasa,6
230.5,2013-03-12 07:00:00,1,Selasa,7
211.2,2013-03-12 08:00:00,1,Selasa,8
189.2,2013-03-12 09:00:00,1,Selasa,9
200.2,2013-03-12 10:00:00,1,Selasa,10
217.7,2013-03-12 11:00:00,1,Selasa,11
232.0,2013-03-12 12:00:00,1,Selasa,12
228.89999999999998,2013-03-12 13:00:00,1,Selasa,13
224.0,2013-03-12 14:00:00,1,Selasa,14
217.3,2013-03-12 15:00:00,1,Selasa,15
227.7,2013-03-12 16:00:00,1,Selasa,16
238.89999999999998,2013-03-12 17:00:00,1,Selasa,17
253.7,2013-03-12 18:00:00,1,Selasa,18
258.5,2013-03-12 19:00:00,1,Selasa,19
248.10000000000002,2013-03-12 20:00:00,1,Selasa,20
215.4,2013-03-12 21:00:00,1,Selasa,21
174.7,2013-03-12 22:00:00,1,Selasa,22
134.5,2013-03-12 23:00:00,1,Selasa,23
64.4,2013-03-13 00:00:00,2,Rabu,0
27.4,2013-03-13 01:00:00,2,Rabu,1
14.7,2013-03-13 02:00:00,2,Rabu,2
13.6,2013-03-13 03:00:00,2,Rabu,3
13.3,2013-03-13 04:00:00,2,Rabu,4
14.600000000000001,2013-03-13 05:00:00,2,Rabu,5
15.8,2013-03-13 06:00:00,2,Rabu,6
19.2,2013-03-13 07:00:00,2,Rabu,7
27.3,2013-03-13 08:00:00,2,Rabu,8
30.2,2013-03-13 09:00:00,2,Rabu,9
25.4,2013-03-13 10:00:00,2,Rabu,10
15.7,2013-03-13 11:00:00,2,Rabu,11
15.100000000000001,2013-03-13 12:00:00,2,Rabu,12
18.2,2013-03-13 13:00:00,2,Rabu,13
20.0,2013-03-13 14:00:00,2,Rabu,14
13.7,2013-03-13 15:00:00,2,Rabu,15
16.1,2013-03-13 16:00:00,2,Rabu,16
31.7,2013-03-13 17:00:00,2,Rabu,17
49.900000000000006,2013-03-13 18:00:00,2,Rabu,18
73.1,2013-03-13 19:00:00,2,Rabu,19
76.4,2013-03-13 20:00:00,2,Rabu,20
75.69999999999999,2013-03-13 21:00:00,2,Rabu,21
82.2,2013-03-13 22:00:00,2,Rabu,22
98.4,2013-03-13 23:00:00,2,Rabu,23
145.0,2013-03-14 00:00:00,3,Kamis,0
137.2,2013-03-14 01:00:00,3,Kamis,1
121.9,2013-03-14 02:00:00,3,Kamis,2
112.4,2013-03-14 03:00:00,3,Kamis,3
112.7,2013-03-14 04:00:00,3,Kamis,4
123.5,2013-03-14 05:00:00,3,Kamis,5
129.6,2013-03-14 06:00:00,3,Kamis,6
132.8,2013-03-14 07:00:00,3,Kamis,7
147.0,2013-03-14 08:00:00,3,Kamis,8
165.4,2013-03-14 09:00:00,3,Kamis,9
184.3,2013-03-14 10:00:00,3,Kamis,10
206.10000000000002,2013-03-14 11:00:00,3,Kamis,11
212.4,2013-03-14 12:00:00,3,Kamis,12
206.6,2013-03-14 13:00:00,3,Kamis,13
203.39999999999998,2013-03-14 14:00:00,3,Kamis,14
203.7,2013-03-14 15:00:00,3,Kamis,15
212.8,2013-03-14 16:00:00,3,Kamis,16
218.7,2013-03-14 17:00:00,3,Kamis,17
231.39999999999998,2013-03-14 18:00:00,3,Kamis,18
241.8,2013-03-14 19:00:00,3,Kamis,19
237.39999999999998,2013-03-14 20:00:00,3,Kamis,20
252.5,2013-03-14 21:00:00,3,Kamis,21
282.1,2013-03-14 22:00:00,3,Kamis,22
292.5,2013-03-14 23:00:00,3,Kamis,23
297.1,2013-03-15 00:00:00,4,Jumat,0
300.70000000000005,2013-03-15 01:00:00,4,Jumat,1
311.8,2013-03-15 02:00:00,4,Jumat,2
306.3,2013-03-15 03:00:00,4,Jumat,3
303.1,2013-03-15 04:00:00,4,Jumat,4
301.1,2013-03-15 05:00:00,4,Jumat,5
286.9,2013-03-15 06:00:00,4,Jumat,6
279.9,2013-03-15 07:00:00,4,Jumat,7
292.2,2013-03-15 08:00:00,4,Jumat,8
306.7,2013-03-15 09:00:00,4,Jumat,9
307.7,2013-03-15 10:00:00,4,Jumat,10
322.7,2013-03-15 11:00:00,4,Jumat,11
383.9,2013-03-15 12:00:00,4,Jumat,12
382.20000000000005,2013-03-15 13:00:00,4,Jumat,13
419.79999999999995,2013-03-15 14:00:00,4,Jumat,14
471.29999999999995,2013-03-15 15:00:00,4,Jumat,15
484.2,2013-03-15 16:00:00,4,Jumat,16
495.7,2013-03-15 17:00:00,4,Jumat,17
518.4,2013-03-15 18:00:00,4,Jumat,18
533.1,2013-03-15 19:00:00,4,Jumat,19
551.8,2013-03-15 20:00:00,4,Jumat,20
547.2,2013-03-15 21:00:00,4,Jumat,21
541.4,2013-03-15 22:00:00,4,Jumat,22
543.2,2013-03-15 23:00:00,4,Jumat,23
579.5,2013-03-16 00:00:00,5,Sabtu,0
570.9000000000001,2013-03-16 01:00:00,5,Sabtu,1
531.5,2013-03-16 02:00:00,5,Sabtu,2
520.2,2013-03-16 03:00:00,5,Sabtu,3
510.2,2013-03-16 04:00:00,5,Sabtu,4
508.6,2013-03-16 05:00:00,5,Sabtu,5
495.4,2013-03-16 06:00:00,5,Sabtu,6
497.6,2013-03-16 07:00:00,5,Sabtu,7
500.6,2013-03-16 08:00:00,5,Sabtu,8
495.1,2013-03-16 09:00:00,5,Sabtu,9
483.1,2013-03-16 10:00:00,5,Sabtu,10
439.5,2013-03-16 11:00:00,5,Sabtu,11
358.6,2013-03-16 12:00:00,5,Sabtu,12
332.4,2013-03-16 13:00:00,5,Sabtu,13
298.3,2013-03-16 14:00:00,5,Sabtu,14
297.8,2013-03-16 15:00:00,5,Sabtu,15
331.79999999999995,2013-03-16 16:00:00,5,Sabtu,16
327.9,2013-03-16 17:00:00,5,Sabtu,17
375.9,2013-03-16 18:00:00,5,Sabtu,18
414.0,2013-03-16 19:00:00,5,Sabtu,19
428.1,2013-03-16 20:00:00,5,Sabtu,20
422.3,2013-03-16 21:00:00,5,Sabtu,21
389.5,2013-03-16 22:00:00,5,Sabtu,22
357.4,2013-03-16 23:00:00,5,Sabtu,23
338.0,2013-03-17 00:00:00,6,Minggu,0
350.0,2013-03-17 01:00:00,6,Minggu,1
361.9,2013-03-17 02:00:00,6,Minggu,2
366.6,2013-03-17 03:00:00,6,Minggu,3
358.0,2013-03-17 04:00:00,6,Minggu,4
350.2,2013-03-17 05:00:00,6,Minggu,5
350.4,2013-03-17 06:00:00,6,Minggu,6
348.20000000000005,2013-03-17 07:00:00,6,Minggu,7
370.5,2013-03-17 08:00:00,6,Minggu,8
406.6,2013-03-17 09:00:00,6,Minggu,9
454.29999999999995,2013-03-17 10:00:00,6,Minggu,10
485.7,2013-03-17 11:00:00,6,Minggu,11
526.3,2013-03-17 12:00:00,6,Minggu,12
583.6,2013-03-17 13:00:00,6,Minggu,13
633.3,2013-03-17 14:00:00,6,Minggu,14
665.3,2013-03-17 15:00:00,6,Minggu,15
673.8,2013-03-17 16:00:00,6,Minggu,16
677.0,2013-03-17 17:00:00,6,Minggu,17
684.0999999999999,2013-03-17 18:00:00,6,Minggu,18
691.9,2013-03-17 19:00:00,6,Minggu,19
733.3,2013-03-17 20:00:00,6,Minggu,20
763.5999999999999,2013-03-17 21:00:00,6,Minggu,21
783.4000000000001,2013-03-17 22:00:00,6,Minggu,22
777.0,2013-03-17 23:00:00,6,Minggu,23
783.5,2013-03-18 00:00:00,0,Senin,0
705.9,2013-03-18 01:00:00,0,Senin,1
617.6,2013-03-18 02:00:00,0,Senin,2
263.9,2013-03-18 03:00:00,0,Senin,3
193.0,2013-03-18 04:00:00,0,Senin,4
136.6,2013-03-18 05:00:00,0,Senin,5
84.2,2013-03-18 06:00:00,0,Senin,6
48.9,2013-03-18 07:00:00,0,Senin,7
10.1,2013-03-18 08:00:00,0,Senin,8
11.4,2013-03-18 09:00:00,0,Senin,9
13.6,2013-03-18 10:00:00,0,Senin,10
10.9,2013-03-18 11:00:00,0,Senin,11
13.3,2013-03-18 12:00:00,0,Senin,12
12.7,2013-03-18 13:00:00,0,Senin,13
13.9,2013-03-18 14:00:00,0,Senin,14
16.7,2013-03-18 15:00:00,0,Senin,15
17.0,2013-03-18 16:00:00,0,Senin,16
12.399999999999999,2013-03-18 17:00:00,0,Senin,17
81.7,2013-03-18 18:00:00,0,Senin,18
258.2,2013-03-18 19:00:00,0,Senin,19
159.1,2013-03-18 20:00:00,0,Senin,20
104.80000000000001,2013-03-18 21:00:00,0,Senin,21
70.8,2013-03-18 22:00:00,0,Senin,22
70.8,2013-03-18 23:00:00,0,Senin,23
52.8,2013-03-19 00:00:00,1,Selasa,0
49.8,2013-03-19 01:00:00,1,Selasa,1
41.4,2013-03-19 02:00:00,1,Selasa,2
39.2,2013-03-19 03:00:00,1,Selasa,3
37.0,2013-03-19 04:00:00,1,Selasa,4
32.2,2013-03-19 05:00:00,1,Selasa,5
37.2,2013-03-19 06:00:00,1,Selasa,6
33.099999999999994,2013-03-19 07:00:00,1,Selasa,7
66.2,2013-03-19 08:00:00,1,Selasa,8
78.3,2013-03-19 09:00:00,1,Selasa,9
92.19999999999999,2013-03-19 10:00:00,1,Selasa,10
92.9,2013-03-19 11:00:00,1,Selasa,11
89.19999999999999,2013-03-19 12:00:00,1,Selasa,12
89.1,2013-03-19 13:00:00,1,Selasa,13
97.4,2013-03-19 14:00:00,1,Selasa,14
97.3,2013-03-19 15:00:00,1,Selasa,15
84.1,2013-03-19 16:00:00,1,Selasa,16
72.5,2013-03-19 17:00:00,1,Selasa,17
57.6,2013-03-19 18:00:00,1,Selasa,18
50.7,2013-03-19 19:00:00,1,Selasa,19
65.1,2013-03-19 20:00:00,1,Selasa,20
80.5,2013-03-19 21:00:00,1,Selasa,21
93.3,2013-03-19 22:00:00,1,Selasa,22
94.19999999999999,2013-03-19 23:00:00,1,Selasa,23
84.7,2013-03-20 00:00:00,2,Rabu,0
71.6,2013-03-20 01:00:00,2,Rabu,1
65.6,2013-03-20 02:00:00,2,Rabu,2
53.8,2013-03-20 03:00:00,2,Rabu,3
53.8,2013-03-20 04:00:00,2,Rabu,4
50.3,2013-03-20 05:00:00,2,Rabu,5
33.8,2013-03-20 06:00:00,2,Rabu,6
28.7,2013-03-20 07:00:00,2,Rabu,7
63.7,2013-03-20 08:00:00,2,Rabu,8
83.4,2013-03-20 09:00:00,2,Rabu,9
82.3,2013-03-20 10:00:00,2,Rabu,10
78.3,2013-03-20 11:00:00,2,Rabu,11
90.19999999999999,2013-03-20 12:00:00,2,Rabu,12
66.7,2013-03-20 13:00:00,2,Rabu,13
47.5,2013-03-20 14:00:00,2,Rabu,14
54.8,2013-03-20 15:00:00,2,Rabu,15
63.8,2013-03-20 16:00:00,2,Rabu,16
77.4,2013-03-20 17:00:00,2,Rabu,17
107.5,2013-03-20 18:00:00,2,Rabu,18
123.6,2013-03-20 19:00:00,2,Rabu,19
143.5,2013-03-20 20:00:00,2,Rabu,20
149.7,2013-03-20 21:00:00,2,Rabu,21
161.0,2013-03-20 22:00:00,2,Rabu,22
174.3,2013-03-20 23:00:00,2,Rabu,23
183.8,2013-03-21 00:00:00,3,Kamis,0
185.10000000000002,2013-03-21 01:00:00,3,Kamis,1
180.5,2013-03-21 02:00:00,3,Kamis,2
171.6,2013-03-21 03:00:00,3,Kamis,3
166.8,2013-03-21 04:00:00,3,Kamis,4
162.3,2013-03-21 05:00:00,3,Kamis,5
164.7,2013-03-21 06:00:00,3,Kamis,6
173.3,2013-03-21 07:00:00,3,Kamis,7
185.3,2013-03-21 08:00:00,3,Kamis,8
193.7,2013-03-21 09:00:00,3,Kamis,9
225.5,2013-03-21 10:00:00,3,Kamis,10
237.89999999999998,2013-03-21 11:00:00,3,Kamis,11
267.2,2013-03-21 12:00:00,3,Kamis,12
291.1,2013-03-21 13:00:00,3,Kamis,13
297.79999999999995,2013-03-21 14:00:00,3,Kamis,14
306.6,2013-03-21 15:00:00,3,Kamis,15
315.9,2013-03-21 16:00:00,3,Kamis,16
331.4,2013-03-21 17:00:00,3,Kamis,17
354.1,2013-03-21 18:00:00,3,Kamis,18
365.9,2013-03-21 19:00:00,3,Kamis,19
366.5,2013-03-21 20:00:00,3,Kamis,20
350.70000000000005,2013-03-21 21:00:00,3,Kamis,21
336.6,2013-03-21 22:00:00,3,Kamis,22
326.2,2013-03-21 23:00:00,3,Kamis,23
309.6,2013-03-22 00:00:00,4,Jumat,0
251.3,2013-03-22 01:00:00,4,Jumat,1
229.2,2013-03-22 02:00:00,4,Jumat,2
186.2,2013-03-22 03:00:00,4,Jumat,3
260.5,2013-03-22 04:00:00,4,Jumat,4
116.0,2013-03-22 05:00:00,4,Jumat,5
73.9,2013-03-22 06:00:00,4,Jumat,6
44.0,2013-03-22 07:00:00,4,Jumat,7
73.0,2013-03-22 08:00:00,4,Jumat,8
225.3,2013-03-22 09:00:00,4,Jumat,9
217.6,2013-03-22 10:00:00,4,Jumat,10
211.9,2013-03-22 11:00:00,4,Jumat,11
126.5,2013-03-22 12:00:00,4,Jumat,12
143.39999999999998,2013-03-22 13:00:00,4,Jumat,13
200.9,2013-03-22 14:00:00,4,Jumat,14
203.4,2013-03-22 15:00:00,4,Jumat,15
206.89999999999998,2013-03-22 16:00:00,4,Jumat,16
198.7,2013-03-22 17:00:00,4,Jumat,17
191.7,2013-03-22 18:00:00,4,Jumat,18
187.39999999999998,2013-03-22 19:00:00,4,Jumat,19
176.10000000000002,2013-03-22 20:00:00,4,Jumat,20
